Timestamp,Age ,Gender  ,Marital_Status,Type_of_Family,Family_Size,Education_Level,Occupation,Family_Annual_Income,"Number_of_earning _members_in_the_family
(Including you)",With_whom_you_usually_spend_your_most_of_the_Leisure_time_with,What_are_reasons_for_the_same,TRAVEL,JOB_STUDY,HOUSEWORK,CALLING,CareOfHealth,MEALS,SOCIALMEDIA,SLEEP,ENTERTAINMENT,LEISURETIME,activities_in_a_regular_day,What_do_you_prefer_to_do_in_your_freetime,Your_Attitude_Toward_Life,Mental_Stability,Time_management,Passion_for_Living,Difficult_Interactions,Healthy_Life,Fullfill_your_enjoyments,Daily_Struggle,Social_Neighbourhood,Weekend_satisfaction,Promptness,Transport_facilities,Environment_in_your_Locality/Area,Unorthodox_family,Sufficient_Resources,Fulfilment_of_desires,High_Expectations_towards_life,Work/Study_Environment,Have_you_ever_considered_making_improvements_to_your_daily_routine,"Then_why_do_you_want_OR_don't_you_want_to_improve_your_daily_routine
(SHORT ANSWER)"
10-08-2023 22:40,18,Female,Single,Joint,6,HSC,Student,0-3 lakh,1,Family,Self motivation,5,5,1,1,1,1,1,7,1,1,Use Mobile,Sleeping,2,4,3,3,4,2,3,1,1,1,3,4,3,3,4,2,3,4,Yes,"Change might disrupt my current balance.Enhancing my routine signifies carving out moments for personal development, embracing new challenges, and finding joy in everyday life."
10-08-2023 22:41,20,Female,Single,Joint,6,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Self motivation",4,5,2,0,1,2,1,8,1,1,"Travel, Studying, Grocery Shopping, Idle Time, Review Goals, Going for Walk (Friends, Family, etc), Volunteer Work or Community Involvement","Social Media, Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Social Activities, Chatting, Go for a walk, Volunteering",2,1,2,2,2,3,3,3,2,4,3,2,5,5,5,2,1,1,No,comfortable with the current routine
10-09-2023 11:34,22,Female,Single,Joint,6,Post Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",4,7,3,0.5,1,0.5,2,6,1,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Shopping, Social Activities, Chatting, Music, Volunteering",4,4,4,5,3,4,4,5,4,5,4,5,3,4,2,3,4,4,Yes,I want to advance my professional life
10-09-2023 19:30,22,Female,Single,Nuclear,4,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",2,6,3,2,1,1,2,5,1,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Idle Time, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Volunteer Work or Community Involvement, Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Games (Mobile or Computer games), Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Social Activities, Chatting, Music, Go for a walk, Volunteering",4,2,3,2,5,2,2,5,1,2,5,4,4,4,4,4,4,4,Yes,for healthy life
10-09-2023 19:41,22,Female,Single,Nuclear,3,Post Graduate,Student,9-12 lakh,1,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",4,5,1,2,0,2,2,6,1,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Job / Work, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Review Goals, Shopping (Clothes, Electronics, etc)","Social Media, Sleeping, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Shopping, Music",3,3,5,3,4,3,2,4,3,1,2,1,3,2,3,2,4,1,Yes,to better manage time
10-09-2023 19:50,21,Female,Single,Joint,14,Post Graduate,Student,3-6 lakh,3,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Self motivation",2.5,3,2,0.5,0,1,3,8,1,3,"Use Mobile, Travel, Studying, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Shopping (Clothes, Electronics, etc), Family Time","Social Media, Sleeping, Family Time, Creative Work (Crafting, Photography, etc), Shopping, Go for a walk",5,3,3,3,3,4,3,4,4,4,4,3,4,1,3,4,4,4,Yes,"I want to include exercise, yoga etc  i ln my life "
10-09-2023 19:53,19,Female,Single,Nuclear,3,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment)",0.5,5,4,1,0.5,0.5,2,6,3,1,Watching (T.V. /Reels/Movies),Sleeping,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes,"An effective routine can help reduce stress, which can lead to better mental health, more time to relax and less anxiety"
10-09-2023 19:55,21,Male,Single,Nuclear,3,Graduate,Student,3-6 lakh,1,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",3.5,4.5,2,0,0,2,4,7,2,3,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Grocery Shopping, Personal Hygiene, Idle Time, Power Nap, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Just Relaxing (Resting), Shopping, Music, Writing, Go for a walk",3,3,3,3,2,2,2,2,3,2,2,1,2,2,3,2,3,2,Yes,"For improving my study and professional skills and learning new things without wasting time which I do a lot. Wants to start exercising daily, and improve lifestyle."
10-09-2023 20:12,21,Female,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,2,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",5,10,0.5,0.4,0,2,2,6,0.5,0.2,"Use Mobile, Travel, Job / Work","Social Media, Family Time, Hangout with friends, Games (Mobile or Computer games)",2,1,1,1,2,2,3,4,1,2,2,2,1,1,1,1,1,1,Yes,for continuous learning and personal development
10-09-2023 20:22,21,Female,Single,Nuclear,3,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",2,3,2,2,1,1,3,7,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Cooking, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Going for Walk (Friends, Family, etc), Family Time, Gardening, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Shopping, Music, Go for a walk",4,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,5,4,Yes,"Exploring personal interests, passions,hobbies"
10-09-2023 22:31,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",3,2,0.5,2,1,3,2,8,1,1,"Travel, Watching (T.V. /Reels/Movies), Studying, Family Time","Sleeping, Family Time, Hangout with friends, Personality Development, Just Relaxing (Resting)",4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,3,4,4,Yes,"Improving my routine is about carving a path to fulfillment, balancing work, hobbies, and personal well-being."
10-10-2023 10:47,22,Female,Single,Nuclear,4,Graduate,Free-lancing,0-3 lakh,2,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",0,4,1,0,2,2,2,8,3,1,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Cooking, Grocery Shopping, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Sleeping, Learning new things, Reading Books, Creative Work (Crafting, Photography, etc), Just Relaxing (Resting), Music, Writing",4,5,2,3,1,4,3,4,3,3,3,3,4,3,4,4,3,3,Yes,"Yes, I could do better and be more productive "
10-10-2023 12:12,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,2,Family,Reduce Anxiety,4,4,1,0,0,1,2,8,1,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Hangout with friends, Games (Mobile or Computer games), Personality Development, Just Relaxing (Resting), Chatting, Music, Pet Grooming",4,3,2,2,1,1,5,2,3,5,5,1,3,4,4,3,5,5,Yes,Just for better life style
10-10-2023 13:40,28,Male,Single,Nuclear,3,Post Graduate,Private Sector,3-6 lakh,1,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",2.5,6,0.5,0.5,0.5,1,3,5,2,4,"Use Mobile, Travel, Spiritual Activity, Job / Work, Idle Time, Power Nap, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Learning new things, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Volunteering",4,4,4,4,4,2,3,4,4,5,5,4,4,5,4,3,4,4,Yes,For better time management 
10-10-2023 19:16,33,Male,Married,Joint,6,Post Graduate,Public Sector(Government sector),9-12 lakh,1,Partner,"Refresh Mood, Quality Time (for some enjoyment)",3,7,2,0.5,1,2,0.5,6,1,1,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Studying, Idle Time, Going for Walk (Friends, Family, etc), Family Time","Sleeping, Family Time, Learning new things, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Just Relaxing (Resting), Chatting, Part time work, Music, Writing, Go for a walk",4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,Yes,Try do to innovative ideas 
10-10-2023 19:24,22,Male,Single,Nuclear,3,Graduate,Student,0-3 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment)",3,4.5,1,0.5,2,1,1,7,2,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Cooking, Grocery Shopping, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Creative Activities (Writing, Crafting, Photography, etc), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Hangout with friends, Reading Books, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Music",3,3,3,2,4,2,4,3,3,3,1,5,5,1,3,5,2,3,Yes,For healthy and happy life
10-10-2023 20:44,22,Female,Single,Nuclear,4,Graduate,Student,6-9 lakh,1,Friends,Quality Time (for some enjoyment),2,5,1,1,1,1,3,6,1,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Family Time","Social Media, Sleeping, Hangout with friends, Reading Books, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Shopping, Music, Go for a walk",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,Yes,Yes i want to adopt a healthier lifestyle by doing exercise
10-10-2023 21:04,21,Female,Single,Nuclear,6,Graduate,Student,3-6 lakh,1,Family,No choice ,4,8,3,1,0,1,1,4,1,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Spiritual Activity, Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Volunteer Work or Community Involvement","Social Media, Sleeping, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content)",3,3,1,2,2,4,2,4,3,1,1,4,1,3,4,2,4,3,Yes,I want to improve my daily routine because it doesn't fit good according to my dreams and I waste lots of time of from my daily routine.
10-10-2023 21:16,23,Male,Single,Nuclear,4,Post Graduate,Trader,9-12 lakh,3,Friends,"Refresh Mood, Quality Time (for some enjoyment), Self motivation",2,4,1,1,2,1,3,6,2,2,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Job / Work, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time","Social Media, Hangout with friends, Just Relaxing (Resting)",5,5,4,4,2,4,5,5,5,5,4,5,4,4,4,4,4,4,Yes,Yes I want to improve my daily routine because I want to do more things in my life but I can’t manage my time 
10-10-2023 21:23,32,Male,Married,Joint,9,Post Graduate,Private Sector,above 15 lakh,3,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",5,1,0,1,1,2,2,8,2,2,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Grocery Shopping, Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Long Drive, Just Relaxing (Resting), Music, Go for a walk",5,4,3,3,3,3,4,2,3,3,2,1,3,3,4,4,4,4,Yes,Want to add time for new learning and reduce daily commute time 
10-10-2023 21:59,21,Female,Single,Nuclear,5,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",2,4,1,0.25,0,2,3,8,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Just Relaxing (Resting), Shopping, Music, Writing, Go for a walk",3,3,4,3,5,3,4,5,3,2,4,3,2,4,4,1,3,3,Yes,I want to improve my daily routine because I feel it's very recurring I want to add and delete certain things.
10-10-2023 22:31,18,Female,Single,Joint,6,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), ",2,4,2,0.5,0.75,1,2,8,2,1,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Cooking, Personal Hygiene, Family Time","Social Media, Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Social Activities, Music, Writing, Go for a walk, Swimming",4,3,4,2,3,5,4,4,3,2,4,5,5,3,3,5,5,3,Yes," Do something new in life, something different"
10-10-2023 23:36,23,Male,Single,Nuclear,5,Post Graduate,Student,0-3 lakh,1,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",4,4,2,0.75,1,0.75,3,5,2,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Review Goals, Going for Walk (Friends, Family, etc), Family Time, Gardening, Networking (Attending Social or Professional Events)","Social Media, Sleeping, Family Time, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Music, Go for a walk",3,4,5,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,Yes,I want to improve because improvement is key to success 🐱
10-11-2023 10:17,22,Male,Single,Joint,6,Post Graduate,Student,0-3 lakh,1,Friends,Refresh Mood,3.5,5,3,1,0,1,2,6,0,2,"Use Mobile, Technolgy (Gadgets, Programming, etc), ",Sleeping,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,Patience and mental health
10/14/2023 14:22:49,30,Male,Single,Nuclear,3,Post Graduate,Public Sector(Government sector),6-9 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation, ",2,8,1,0,0.5,1,2,7,1,3,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Music, Go for a walk",1,3,2,1,3,2,1,1,2,3,2,1,2,1,2,2,1,1,Yes,Time management
10/14/2023 21:16:01,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Friends,"Quality Time (for some enjoyment), Privacy (just your alone time)",0.5,8,2,2,1,2,1,8,0,0.5,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap","Just Relaxing (Resting), Music",3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,Yes,To concentrate more on studies 
