Timestamp,Age ,   Gender  ,  Marital Status:  ,"  Type of Family:   
(Nuclear family = just your mom dad, sibiling and you)",  Family Size: (including yourself),  Education Level:  ,  Occupation  ,  Family Annual Income :  ,"  Number of earning members in the family?  
(Including you)","With whom do you usually spend your most of the Leisure time with? 
(Leisure time - time when you are not working or occupied; free time)",What are the reasons for the same? (You can select multiple options)  ,TRAVEL,JOB_STUDY,HOUSEWORK,CALLING,CareOfHealth,MEALS,SOCIALMEDIA,SLEEP,ENTERTAINMENT,LEISURETIME,What activities you go through in a regular day? (You can select multiple options),What do you prefer to do in your leisure (free) time? (You can select multiple options),Your Attitude Toward Life,Mental Stability ,Time management,Passion for Living (an energy source for living an inspired life that is driven by purposeful action  ),Difficult Interactions (Can't communicate with people precisely),Healthy Life ( LOWERS THE RISK of being seriously ill ),Fullfill your enjoyments,"Daily Struggle ( to try very hard to do, achieve your goals)","Social Neighbourhood ( Networks provide sociability, social support, and social capital to their members )",Weekend satisfaction (great satisfaction with your weekend activities ),Promptness (doing things without delay or at the appropriate time.),"Transport facilities (Train, Bus, Rikshaw, etc)",Environment in your Locality / Area,"Unorthodox family ( not conforming to rules, traditions, or modes of conduct )",Sufficient Resources (sufficient material and financial resources available),Fulfilment of desires ( completion or achievement ),High Expectations towards life ,Work / Study Environment ,Have you ever considered making improvements to your daily routine ?,"Then why do you want OR don't you want to improve your daily routine?
(SHORT ANSWER)",Total_Activity_Hours_Final
10-08-2023 22:40,18,Female,Single,Joint,6,HSC,Student,0-3 lakh,1,Family,Self motivation,6.5,4.6,0.92,0.92,0.92,0.92,0.92,6.45,0.92,0.92,Use Mobile,Sleeping,2,4,3,3,4,2,3,1,1,1,3,4,3,3,4,2,3,4,Yes,"Change might disrupt my current balance.Enhancing my routine signifies carving out moments for personal development, embracing new challenges, and finding joy in everyday life.",24
10-08-2023 22:41,20,Female,Single,Joint,6,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Self motivation",4.86,4.56,1.82,0,0.91,1.82,0.91,7.29,0.91,0.91,"Travel, Studying, Grocery Shopping, Idle Time, Review Goals, Going for Walk (Friends, Family, etc), Volunteer Work or Community Involvement","Social Media, Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Social Activities, Chatting, Go for a walk, Volunteering",2,1,2,2,2,3,3,3,2,4,3,2,5,5,5,2,1,1,No,comfortable with the current routine,24
10-09-2023 11:34,22,Female,Single,Joint,6,Post Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",4.9,6.08,2.6,0.43,0.87,0.43,1.74,5.21,0.87,0.87,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Shopping, Social Activities, Chatting, Music, Volunteering",4,4,4,5,3,4,4,5,4,5,4,5,3,4,2,3,4,4,Yes,I want to advance my professional life,24
10-09-2023 19:30,22,Female,Single,Nuclear,4,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",2.62,5.58,2.79,1.86,0.93,0.93,1.86,4.65,0.93,1.86,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Idle Time, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Volunteer Work or Community Involvement, Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Games (Mobile or Computer games), Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Social Activities, Chatting, Music, Go for a walk, Volunteering",4,2,3,2,5,2,2,5,1,2,5,4,4,4,4,4,4,4,Yes,for healthy life,24
10-09-2023 19:41,22,Female,Single,Nuclear,3,Post Graduate,Student,9-12 lakh,1,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",4.65,4.61,0.92,1.84,0,1.84,1.84,5.53,0.92,1.84,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Job / Work, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Review Goals, Shopping (Clothes, Electronics, etc)","Social Media, Sleeping, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Shopping, Music",3,3,5,3,4,3,2,4,3,1,2,1,3,2,3,2,4,1,Yes,to better manage time,24
10-09-2023 19:50,21,Female,Single,Joint,14,Post Graduate,Student,3-6 lakh,3,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Self motivation",2.94,2.94,1.96,0.49,0,0.98,2.94,7.84,0.98,2.94,"Use Mobile, Travel, Studying, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Shopping (Clothes, Electronics, etc), Family Time","Social Media, Sleeping, Family Time, Creative Work (Crafting, Photography, etc), Shopping, Go for a walk",5,3,3,3,3,4,3,4,4,4,4,3,4,1,3,4,4,4,Yes,"I want to include exercise, yoga etc  i ln my life ",24
10-09-2023 19:53,19,Female,Single,Nuclear,3,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment)",0.81,5.04,4.03,1.01,0.5,0.5,2.02,6.05,3.03,1.01,Watching (T.V. /Reels/Movies),Sleeping,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes,"An effective routine can help reduce stress, which can lead to better mental health, more time to relax and less anxiety",24
10-09-2023 19:55,21,Male,Single,Nuclear,3,Graduate,Student,3-6 lakh,1,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",3.3,3.8,1.69,0,0,1.69,3.38,5.91,1.69,2.53,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Grocery Shopping, Personal Hygiene, Idle Time, Power Nap, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Just Relaxing (Resting), Shopping, Music, Writing, Go for a walk",3,3,3,3,2,2,2,2,3,2,2,1,2,2,3,2,3,2,Yes,"For improving my study and professional skills and learning new things without wasting time which I do a lot. Wants to start exercising daily, and improve lifestyle.",24
10-09-2023 20:12,21,Female,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,2,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",6.16,8.26,0.41,0.33,0,1.65,1.65,4.96,0.41,0.17,"Use Mobile, Travel, Job / Work","Social Media, Family Time, Hangout with friends, Games (Mobile or Computer games)",2,1,1,1,2,2,3,4,1,2,2,2,1,1,1,1,1,1,Yes,for continuous learning and personal development,24
10-09-2023 20:22,21,Female,Single,Nuclear,3,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",2.59,2.92,1.95,1.95,0.97,0.97,2.92,6.81,1.95,0.97,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Cooking, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Going for Walk (Friends, Family, etc), Family Time, Gardening, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Shopping, Music, Go for a walk",4,4,4,4,3,4,5,5,5,5,5,5,5,4,4,4,5,4,Yes,"Exploring personal interests, passions,hobbies",24
10-09-2023 22:31,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",3.66,1.98,0.5,1.98,0.99,2.98,1.98,7.94,0.99,0.99,"Travel, Watching (T.V. /Reels/Movies), Studying, Family Time","Sleeping, Family Time, Hangout with friends, Personality Development, Just Relaxing (Resting)",4,4,4,4,4,4,4,4,4,3,4,3,4,5,5,3,4,4,Yes,"Improving my routine is about carving a path to fulfillment, balancing work, hobbies, and personal well-being.",24
10-10-2023 10:47,22,Female,Single,Nuclear,4,Graduate,Free-lancing,0-3 lakh,2,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",0,4.17,1.04,0,2.09,2.09,2.09,8.35,3.13,1.04,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Cooking, Grocery Shopping, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Sleeping, Learning new things, Reading Books, Creative Work (Crafting, Photography, etc), Just Relaxing (Resting), Music, Writing",4,5,2,3,1,4,3,4,3,3,3,3,4,3,4,4,3,3,Yes,"Yes, I could do better and be more productive ",24
10-10-2023 12:12,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,2,Family,Reduce Anxiety,5.73,4.06,1.01,0,0,1.01,2.03,8.13,1.01,1.01,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Hangout with friends, Games (Mobile or Computer games), Personality Development, Just Relaxing (Resting), Chatting, Music, Pet Grooming",4,3,2,2,1,1,5,2,3,5,5,1,3,4,4,3,5,5,Yes,Just for better life style,24
10-10-2023 13:40,28,Male,Single,Nuclear,3,Post Graduate,Private Sector,3-6 lakh,1,Alone,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",3.34,5.51,0.46,0.46,0.46,0.92,2.75,4.59,1.84,3.67,"Use Mobile, Travel, Spiritual Activity, Job / Work, Idle Time, Power Nap, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Learning new things, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Volunteering",4,4,4,4,4,2,3,4,4,5,5,4,4,5,4,3,4,4,Yes,For better time management ,24
10-10-2023 19:16,33,Male,Married,Joint,6,Post Graduate,Public Sector(Government sector),9-12 lakh,1,Partner,"Refresh Mood, Quality Time (for some enjoyment)",4.47,6.51,1.86,0.47,0.93,1.86,0.47,5.58,0.93,0.93,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Studying, Idle Time, Going for Walk (Friends, Family, etc), Family Time","Sleeping, Family Time, Learning new things, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Just Relaxing (Resting), Chatting, Part time work, Music, Writing, Go for a walk",4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,Yes,Try do to innovative ideas ,24
10-10-2023 19:24,22,Male,Single,Nuclear,3,Graduate,Student,0-3 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment)",4.35,4.21,0.94,0.47,1.87,0.94,0.94,6.55,1.87,1.87,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Cooking, Grocery Shopping, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Creative Activities (Writing, Crafting, Photography, etc), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Hangout with friends, Reading Books, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Music",3,3,3,2,4,2,4,3,3,3,1,5,5,1,3,5,2,3,Yes,For healthy and happy life,24
10-10-2023 20:44,22,Female,Single,Nuclear,4,Graduate,Student,6-9 lakh,1,Friends,Quality Time (for some enjoyment),3,5,1,1,1,1,3,6,1,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Family Time","Social Media, Sleeping, Hangout with friends, Reading Books, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Just Relaxing (Resting), Shopping, Music, Go for a walk",3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,Yes,Yes i want to adopt a healthier lifestyle by doing exercise,24
10-10-2023 21:04,21,Female,Single,Nuclear,6,Graduate,Student,3-6 lakh,1,Family,No choice ,5.82,7.27,2.73,0.91,0,0.91,0.91,3.64,0.91,0.91,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Spiritual Activity, Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Volunteer Work or Community Involvement","Social Media, Sleeping, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content)",3,3,1,2,2,4,2,4,3,1,1,4,1,3,4,2,4,3,Yes,I want to improve my daily routine because it doesn't fit good according to my dreams and I waste lots of time of from my daily routine.,24
10-10-2023 21:16,23,Male,Single,Nuclear,4,Post Graduate,Trader,9-12 lakh,3,Friends,"Refresh Mood, Quality Time (for some enjoyment), Self motivation",2.88,3.84,0.96,0.96,1.92,0.96,2.88,5.76,1.92,1.92,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Job / Work, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Animal Care, Family Time","Social Media, Hangout with friends, Just Relaxing (Resting)",5,5,4,4,2,4,5,5,5,5,4,5,4,4,4,4,4,4,Yes,Yes I want to improve my daily routine because I want to do more things in my life but I canât manage my time ,24
10-10-2023 21:23,32,Male,Married,Joint,9,Post Graduate,Private Sector,above 15 lakh,3,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",5.76,0.96,0,0.96,0.96,1.92,1.92,7.68,1.92,1.92,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Grocery Shopping, Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Long Drive, Just Relaxing (Resting), Music, Go for a walk",5,4,3,3,3,3,4,2,3,3,2,1,3,3,4,4,4,4,Yes,Want to add time for new learning and reduce daily commute time ,24
10-10-2023 21:59,21,Female,Single,Nuclear,5,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",2.78,3.99,1,0.25,0,2,3,7.99,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Just Relaxing (Resting), Shopping, Music, Writing, Go for a walk",3,3,4,3,5,3,4,5,3,2,4,3,2,4,4,1,3,3,Yes,I want to improve my daily routine because I feel it's very recurring I want to add and delete certain things.,24
